,config_name,precision,bits_per_weight,dynamic_calibration,weight_only,metric,value,runtime,base_metric,relative
0,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_MAE,7.811215940294607,pytorch,MAE,False
1,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_MAE,7.7511595423893915,pytorch,MAE,False
2,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_quantized_MAE,7.8404794183611894,pytorch,MAE,False
3,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_MAE,7.811963385048875,pytorch,MAE,False
4,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_MAE,1.0014230215508886,pytorch,MAE,True
5,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_MAE,0.9937235980663248,pytorch,MAE,True
6,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_relative_MAE,1.0051746936145622,pytorch,MAE,True
7,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_MAE,1.0015188463738076,pytorch,MAE,True
8,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False
9,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False
10,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_quantized_model_size,206337.0,pytorch,model_size,False
11,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_model_size,206337.0,pytorch,model_size,False
12,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_median_latency,0.0007249870000123337,pytorch,median_latency,False
13,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_median_latency,0.0019123740000850376,pytorch,median_latency,False
14,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_quantized_median_latency,0.003194812500169064,pytorch,median_latency,False
15,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_median_latency,0.00938479099977485,pytorch,median_latency,False
16,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p95_latency,0.0010747781002237381,pytorch,p95_latency,False
17,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p95_latency,0.003066669049735534,pytorch,p95_latency,False
18,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_quantized_p95_latency,0.00570931344987002,pytorch,p95_latency,False
19,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_p95_latency,0.016993551249720438,pytorch,p95_latency,False
20,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p99_latency,0.002780704539909491,pytorch,p99_latency,False
21,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p99_latency,0.005429925829771486,pytorch,p99_latency,False
22,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_quantized_p99_latency,0.012957509020125137,pytorch,p99_latency,False
23,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_p99_latency,0.023035138800319144,pytorch,p99_latency,False
24,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True
25,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True
26,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_relative_model_size,0.25,pytorch,model_size,True
27,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_model_size,0.25,pytorch,model_size,True
28,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_median_latency,1.2480667528665945,pytorch,median_latency,True
29,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_median_latency,3.2921561469543987,pytorch,median_latency,True
30,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_relative_median_latency,5.499876912325016,pytorch,median_latency,True
31,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_median_latency,16.155938836449998,pytorch,median_latency,True
32,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p95_latency,1.3424781846581293,pytorch,p95_latency,True
33,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p95_latency,3.8304988703986447,pytorch,p95_latency,True
34,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_relative_p95_latency,7.1313592584647845,pytorch,p95_latency,True
35,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_p95_latency,21.226215744320122,pytorch,p95_latency,True
36,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p99_latency,1.3952770397461443,pytorch,p99_latency,True
37,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p99_latency,2.724579590915935,pytorch,p99_latency,True
38,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_relative_p99_latency,6.501702920466561,pytorch,p99_latency,True
39,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_p99_latency,11.558365807716118,pytorch,p99_latency,True
