,config_name,precision,bits_per_weight,dynamic_calibration,weight_only,metric,value,runtime,base_metric,relative
0,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_MAE,7.811215940294607,pytorch,MAE,False
1,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_MAE,7.7511595423893915,pytorch,MAE,False
2,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_MAE,1.0014230215508886,pytorch,MAE,True
3,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_MAE,0.9937235980663248,pytorch,MAE,True
4,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False
5,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False
6,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_median_latency,0.0008436595001057867,pytorch,median_latency,False
7,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_median_latency,0.0014292359999217297,pytorch,median_latency,False
8,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p95_latency,0.001256575149977834,pytorch,p95_latency,False
9,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p95_latency,0.0018765730497761963,pytorch,p95_latency,False
10,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p99_latency,0.0030324653500883856,pytorch,p99_latency,False
11,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p99_latency,0.0039672698399772326,pytorch,p99_latency,False
12,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True
13,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True
14,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_median_latency,1.3153242553638596,pytorch,median_latency,True
15,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_median_latency,2.2282790356779576,pytorch,median_latency,True
16,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p95_latency,1.2317570318986737,pytorch,p95_latency,True
17,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p95_latency,1.8395095987487449,pytorch,p95_latency,True
18,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p99_latency,1.868977532218643,pytorch,p99_latency,True
19,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p99_latency,2.4451188518773956,pytorch,p99_latency,True
20,Int8WeightOnlyConfig,int8,8,False,True,onnx_quantized_model_size,32380.0,onnx,model_size,False
21,Float8WeightOnlyConfig,float8,8,False,True,onnx_quantized_model_size,,onnx,model_size,False
22,Int8WeightOnlyConfig,int8,8,False,True,onnx_quantized_median_latency,0.000422839000066233,onnx,median_latency,False
23,Float8WeightOnlyConfig,float8,8,False,True,onnx_quantized_median_latency,,onnx,median_latency,False
24,Int8WeightOnlyConfig,int8,8,False,True,onnx_quantized_p95_latency,0.0006319562501403196,onnx,p95_latency,False
25,Float8WeightOnlyConfig,float8,8,False,True,onnx_quantized_p95_latency,,onnx,p95_latency,False
26,Int8WeightOnlyConfig,int8,8,False,True,onnx_quantized_p99_latency,0.0013824627199392114,onnx,p99_latency,False
27,Float8WeightOnlyConfig,float8,8,False,True,onnx_quantized_p99_latency,,onnx,p99_latency,False
28,Int8WeightOnlyConfig,int8,8,False,True,onnx_relative_model_size,2.417319895483389,onnx,model_size,True
29,Float8WeightOnlyConfig,float8,8,False,True,onnx_relative_model_size,,onnx,model_size,True
30,Int8WeightOnlyConfig,int8,8,False,True,onnx_relative_median_latency,1.367974933280472,onnx,median_latency,True
31,Float8WeightOnlyConfig,float8,8,False,True,onnx_relative_median_latency,,onnx,median_latency,True
32,Int8WeightOnlyConfig,int8,8,False,True,onnx_relative_p95_latency,1.2203358919478762,onnx,p95_latency,True
33,Float8WeightOnlyConfig,float8,8,False,True,onnx_relative_p95_latency,,onnx,p95_latency,True
34,Int8WeightOnlyConfig,int8,8,False,True,onnx_relative_p99_latency,0.8400683637574102,onnx,p99_latency,True
35,Float8WeightOnlyConfig,float8,8,False,True,onnx_relative_p99_latency,,onnx,p99_latency,True
36,Int8WeightOnlyConfig,int8,8,False,True,pt2_quantized_model_size,352865.0,pt2,model_size,False
37,Float8WeightOnlyConfig,float8,8,False,True,pt2_quantized_model_size,332577.0,pt2,model_size,False
38,Int8WeightOnlyConfig,int8,8,False,True,pt2_quantized_median_latency,0.0014643805000105203,pt2,median_latency,False
39,Float8WeightOnlyConfig,float8,8,False,True,pt2_quantized_median_latency,0.0015821575000245502,pt2,median_latency,False
40,Int8WeightOnlyConfig,int8,8,False,True,pt2_quantized_p95_latency,0.002388964450074124,pt2,p95_latency,False
41,Float8WeightOnlyConfig,float8,8,False,True,pt2_quantized_p95_latency,0.0021660964999455244,pt2,p95_latency,False
42,Int8WeightOnlyConfig,int8,8,False,True,pt2_quantized_p99_latency,0.004547035430023242,pt2,p99_latency,False
43,Float8WeightOnlyConfig,float8,8,False,True,pt2_quantized_p99_latency,0.0045827209896742716,pt2,p99_latency,False
44,Int8WeightOnlyConfig,int8,8,False,True,pt2_relative_model_size,0.3966410868301873,pt2,model_size,True
45,Float8WeightOnlyConfig,float8,8,False,True,pt2_relative_model_size,0.3738361773900024,pt2,model_size,True
46,Int8WeightOnlyConfig,int8,8,False,True,pt2_relative_median_latency,2.0096800511962702,pt2,median_latency,True
47,Float8WeightOnlyConfig,float8,8,False,True,pt2_relative_median_latency,2.171314330959104,pt2,median_latency,True
48,Int8WeightOnlyConfig,int8,8,False,True,pt2_relative_p95_latency,2.42270510085633,pt2,p95_latency,True
49,Float8WeightOnlyConfig,float8,8,False,True,pt2_relative_p95_latency,2.196689464844166,pt2,p95_latency,True
50,Int8WeightOnlyConfig,int8,8,False,True,pt2_relative_p99_latency,1.578208447377537,pt2,p99_latency,True
51,Float8WeightOnlyConfig,float8,8,False,True,pt2_relative_p99_latency,1.5905943749906768,pt2,p99_latency,True
