,config_name,precision,bits_per_weight,dynamic_calibration,weight_only,metric,value,runtime,base_metric,relative,train_run,eval_run,split
0,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_MAE,7.262659647962164,pytorch,MAE,False,1,1,train
1,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_MAE,7.254247797151476,pytorch,MAE,False,1,1,train
2,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_quantized_MAE,7.309167364218144,pytorch,MAE,False,1,1,train
3,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_MAE,7.257537775419214,pytorch,MAE,False,1,1,train
4,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_MAE,1.0008338880769159,pytorch,MAE,True,1,1,train
5,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_MAE,0.9996746894140478,pytorch,MAE,True,1,1,train
6,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_relative_MAE,1.0072429036087276,pytorch,MAE,True,1,1,train
7,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_MAE,1.0001280662623369,pytorch,MAE,True,1,1,train
8,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
9,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
10,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
11,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
12,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_median_latency,0.000810582499980228,pytorch,median_latency,False,1,1,train
13,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_median_latency,0.0013763235001533758,pytorch,median_latency,False,1,1,train
14,Float8StaticActivationFloat8WeightConfig,float8,8,False,False,pytorch_quantized_median_latency,0.0025150830001621216,pytorch,median_latency,False,1,1,train
