,config_name,precision,bits_per_weight,dynamic_calibration,weight_only,metric,value,runtime,base_metric,relative,train_run,eval_run,split
0,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_MAE,7.294912983981413,pytorch,MAE,False,1,1,train
1,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_MAE,7.283770180387644,pytorch,MAE,False,1,1,train
2,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_MAE,7.289029368577226,pytorch,MAE,False,1,1,train
3,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_MAE,1.0013142301881222,pytorch,MAE,True,1,1,train
4,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_MAE,0.9997847468581451,pytorch,MAE,True,1,1,train
5,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_MAE,1.000506633463925,pytorch,MAE,True,1,1,train
6,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
7,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
8,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
9,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_median_latency,0.0006925299994691159,pytorch,median_latency,False,1,1,train
10,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_median_latency,0.0007139829995139735,pytorch,median_latency,False,1,1,train
11,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_median_latency,0.015545155500149122,pytorch,median_latency,False,1,1,train
12,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p95_latency,0.0007728457495886687,pytorch,p95_latency,False,1,1,train
13,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p95_latency,0.0008382153993807151,pytorch,p95_latency,False,1,1,train
14,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_p95_latency,0.01696985560010944,pytorch,p95_latency,False,1,1,train
15,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p99_latency,0.0008301500007837604,pytorch,p99_latency,False,1,1,train
16,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p99_latency,0.0008708778195341439,pytorch,p99_latency,False,1,1,train
17,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_p99_latency,0.017375172989995923,pytorch,p99_latency,False,1,1,train
18,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,train
19,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,train
20,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,train
21,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_median_latency,2.0798195636763523,pytorch,median_latency,True,1,1,train
22,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_median_latency,2.144247630658358,pytorch,median_latency,True,1,1,train
23,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_median_latency,46.68551334149537,pytorch,median_latency,True,1,1,train
24,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p95_latency,1.9989947424243348,pytorch,p95_latency,True,1,1,train
25,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p95_latency,2.1680758123764816,pytorch,p95_latency,True,1,1,train
26,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_p95_latency,43.89317291629483,pytorch,p95_latency,True,1,1,train
27,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p99_latency,1.9475375182618344,pytorch,p99_latency,True,1,1,train
28,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p99_latency,2.043085256596416,pytorch,p99_latency,True,1,1,train
29,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_p99_latency,40.76227338716962,pytorch,p99_latency,True,1,1,train
0,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_MAE,7.373612993299568,pytorch,MAE,False,1,1,test
