,config_name,precision,bits_per_weight,dynamic_calibration,weight_only,metric,value,runtime,base_metric,relative,train_run,eval_run,split
0,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_MAE,7.30221640320165,pytorch,MAE,False,1,1,train
1,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_MAE,7.291303686108667,pytorch,MAE,False,1,1,train
2,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_MAE,7.295675824765042,pytorch,MAE,False,1,1,train
3,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_MAE,1.001227484134964,pytorch,MAE,True,1,1,train
4,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_MAE,0.9997312107192249,pytorch,MAE,True,1,1,train
5,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_MAE,1.0003306869803354,pytorch,MAE,True,1,1,train
6,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
7,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
8,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
9,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_median_latency,0.0006922365000434638,pytorch,median_latency,False,1,1,train
10,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_median_latency,0.0007672159999856376,pytorch,median_latency,False,1,1,train
11,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_median_latency,0.013605211500021142,pytorch,median_latency,False,1,1,train
12,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p95_latency,0.000760454399971877,pytorch,p95_latency,False,1,1,train
13,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p95_latency,0.0008834259000138898,pytorch,p95_latency,False,1,1,train
14,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_p95_latency,0.016083296900001185,pytorch,p95_latency,False,1,1,train
15,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p99_latency,0.0008597033300088696,pytorch,p99_latency,False,1,1,train
16,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p99_latency,0.0009812267699862785,pytorch,p99_latency,False,1,1,train
17,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_p99_latency,0.016663444890039614,pytorch,p99_latency,False,1,1,train
18,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,train
19,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,train
20,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,train
21,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_median_latency,2.059786295860019,pytorch,median_latency,True,1,1,train
22,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_median_latency,2.2828917611766117,pytorch,median_latency,True,1,1,train
23,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_median_latency,40.483025957546495,pytorch,median_latency,True,1,1,train
24,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p95_latency,2.0200028129310774,pytorch,p95_latency,True,1,1,train
