,config_name,precision,bits_per_weight,dynamic_calibration,weight_only,metric,value,runtime,base_metric,relative,train_run,eval_run,split
0,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_MAE,7.304159485440946,pytorch,MAE,False,1,1,train
1,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_MAE,7.295582809928135,pytorch,MAE,False,1,1,train
2,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_MAE,1.0007755970460013,pytorch,MAE,True,1,1,train
3,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_MAE,0.9996004683300809,pytorch,MAE,True,1,1,train
4,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
5,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
6,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_median_latency,0.000781451000875677,pytorch,median_latency,False,1,1,train
7,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_median_latency,0.001270486001885729,pytorch,median_latency,False,1,1,train
8,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p95_latency,0.0008814668013656045,pytorch,p95_latency,False,1,1,train
9,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p95_latency,0.001478174549629329,pytorch,p95_latency,False,1,1,train
10,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p99_latency,0.0010186662697742575,pytorch,p99_latency,False,1,1,train
11,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p99_latency,0.001605004469856794,pytorch,p99_latency,False,1,1,train
12,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,train
13,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,train
14,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_median_latency,1.4103488051344237,pytorch,median_latency,True,1,1,train
15,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_median_latency,2.292950437956654,pytorch,median_latency,True,1,1,train
16,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p95_latency,1.3260700391890505,pytorch,p95_latency,True,1,1,train
17,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p95_latency,2.223751342555904,pytorch,p95_latency,True,1,1,train
18,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p99_latency,1.3677624346956019,pytorch,p99_latency,True,1,1,train
19,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p99_latency,2.1550382951966554,pytorch,p99_latency,True,1,1,train
20,Int8WeightOnlyConfig,int8,8,False,True,onnx_quantized_model_size,47160.0,onnx,model_size,False,1,1,train
21,Float8WeightOnlyConfig,float8,8,False,True,onnx_quantized_model_size,,onnx,model_size,False,1,1,train
22,Int8WeightOnlyConfig,int8,8,False,True,onnx_quantized_median_latency,0.00038516599852300715,onnx,median_latency,False,1,1,train
23,Float8WeightOnlyConfig,float8,8,False,True,onnx_quantized_median_latency,,onnx,median_latency,False,1,1,train
24,Int8WeightOnlyConfig,int8,8,False,True,onnx_quantized_p95_latency,0.0004530396978225326,onnx,p95_latency,False,1,1,train
25,Float8WeightOnlyConfig,float8,8,False,True,onnx_quantized_p95_latency,,onnx,p95_latency,False,1,1,train
26,Int8WeightOnlyConfig,int8,8,False,True,onnx_quantized_p99_latency,0.0005267344403546303,onnx,p99_latency,False,1,1,train
27,Float8WeightOnlyConfig,float8,8,False,True,onnx_quantized_p99_latency,,onnx,p99_latency,False,1,1,train
28,Int8WeightOnlyConfig,int8,8,False,True,onnx_relative_model_size,1.6748348604304284,onnx,model_size,True,1,1,train
29,Float8WeightOnlyConfig,float8,8,False,True,onnx_relative_model_size,,onnx,model_size,True,1,1,train
30,Int8WeightOnlyConfig,int8,8,False,True,onnx_relative_median_latency,1.1128411295914746,onnx,median_latency,True,1,1,train
31,Float8WeightOnlyConfig,float8,8,False,True,onnx_relative_median_latency,,onnx,median_latency,True,1,1,train
32,Int8WeightOnlyConfig,int8,8,False,True,onnx_relative_p95_latency,1.1510325977464253,onnx,p95_latency,True,1,1,train
33,Float8WeightOnlyConfig,float8,8,False,True,onnx_relative_p95_latency,,onnx,p95_latency,True,1,1,train
34,Int8WeightOnlyConfig,int8,8,False,True,onnx_relative_p99_latency,1.2049925669915633,onnx,p99_latency,True,1,1,train
35,Float8WeightOnlyConfig,float8,8,False,True,onnx_relative_p99_latency,,onnx,p99_latency,True,1,1,train
36,Int8WeightOnlyConfig,int8,8,False,True,pt2_quantized_model_size,352993.0,pt2,model_size,False,1,1,train
37,Float8WeightOnlyConfig,float8,8,False,True,pt2_quantized_model_size,332641.0,pt2,model_size,False,1,1,train
38,Int8WeightOnlyConfig,int8,8,False,True,pt2_quantized_median_latency,0.001113832999180886,pt2,median_latency,False,1,1,train
39,Float8WeightOnlyConfig,float8,8,False,True,pt2_quantized_median_latency,0.0014008799989824183,pt2,median_latency,False,1,1,train
40,Int8WeightOnlyConfig,int8,8,False,True,pt2_quantized_p95_latency,0.001300007251302304,pt2,p95_latency,False,1,1,train
41,Float8WeightOnlyConfig,float8,8,False,True,pt2_quantized_p95_latency,0.0015738468469862707,pt2,p95_latency,False,1,1,train
42,Int8WeightOnlyConfig,int8,8,False,True,pt2_quantized_p99_latency,0.0017294902311550682,pt2,p99_latency,False,1,1,train
43,Float8WeightOnlyConfig,float8,8,False,True,pt2_quantized_p99_latency,0.0017580663793341953,pt2,p99_latency,False,1,1,train
44,Int8WeightOnlyConfig,int8,8,False,True,pt2_relative_model_size,0.3967564238161981,pt2,model_size,True,1,1,train
45,Float8WeightOnlyConfig,float8,8,False,True,pt2_relative_model_size,0.3738812202356533,pt2,model_size,True,1,1,train
46,Int8WeightOnlyConfig,int8,8,False,True,pt2_relative_median_latency,1.6589349736604158,pt2,median_latency,True,1,1,train
47,Float8WeightOnlyConfig,float8,8,False,True,pt2_relative_median_latency,2.086460740454225,pt2,median_latency,True,1,1,train
48,Int8WeightOnlyConfig,int8,8,False,True,pt2_relative_p95_latency,1.533568689696738,pt2,p95_latency,True,1,1,train
49,Float8WeightOnlyConfig,float8,8,False,True,pt2_relative_p95_latency,1.8566067569994023,pt2,p95_latency,True,1,1,train
50,Int8WeightOnlyConfig,int8,8,False,True,pt2_relative_p99_latency,1.7349051291928976,pt2,p99_latency,True,1,1,train
51,Float8WeightOnlyConfig,float8,8,False,True,pt2_relative_p99_latency,1.763570747046913,pt2,p99_latency,True,1,1,train
0,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_MAE,7.2345342914226025,pytorch,MAE,False,1,1,test
1,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_MAE,7.223110507595461,pytorch,MAE,False,1,1,test
2,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_MAE,1.0007004674793394,pytorch,MAE,True,1,1,test
3,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_MAE,0.99912029861764,pytorch,MAE,True,1,1,test
4,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,test
5,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,test
6,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_median_latency,0.0007591865014546784,pytorch,median_latency,False,1,1,test
7,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_median_latency,0.0012304995016165776,pytorch,median_latency,False,1,1,test
8,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p95_latency,0.000894495699685649,pytorch,p95_latency,False,1,1,test
9,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p95_latency,0.0013683423014299479,pytorch,p95_latency,False,1,1,test
10,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p99_latency,0.0010871387507359028,pytorch,p99_latency,False,1,1,test
11,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p99_latency,0.0015627861909524655,pytorch,p99_latency,False,1,1,test
12,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,test
13,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,test
14,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_median_latency,1.4003048932193152,pytorch,median_latency,True,1,1,test
15,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_median_latency,2.2696326527355755,pytorch,median_latency,True,1,1,test
16,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p95_latency,1.4078895113463208,pytorch,p95_latency,True,1,1,test
17,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p95_latency,2.1536993132462534,pytorch,p95_latency,True,1,1,test
18,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p99_latency,1.5202177809651578,pytorch,p99_latency,True,1,1,test
19,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p99_latency,2.1853469520100774,pytorch,p99_latency,True,1,1,test
20,Int8WeightOnlyConfig,int8,8,False,True,onnx_quantized_model_size,47160.0,onnx,model_size,False,1,1,test
21,Float8WeightOnlyConfig,float8,8,False,True,onnx_quantized_model_size,,onnx,model_size,False,1,1,test
22,Int8WeightOnlyConfig,int8,8,False,True,onnx_quantized_median_latency,0.00039245999869308434,onnx,median_latency,False,1,1,test
23,Float8WeightOnlyConfig,float8,8,False,True,onnx_quantized_median_latency,,onnx,median_latency,False,1,1,test
24,Int8WeightOnlyConfig,int8,8,False,True,onnx_quantized_p95_latency,0.0006355503517625038,onnx,p95_latency,False,1,1,test
25,Float8WeightOnlyConfig,float8,8,False,True,onnx_quantized_p95_latency,,onnx,p95_latency,False,1,1,test
26,Int8WeightOnlyConfig,int8,8,False,True,onnx_quantized_p99_latency,0.0006662427309856866,onnx,p99_latency,False,1,1,test
27,Float8WeightOnlyConfig,float8,8,False,True,onnx_quantized_p99_latency,,onnx,p99_latency,False,1,1,test
28,Int8WeightOnlyConfig,int8,8,False,True,onnx_relative_model_size,1.6748348604304284,onnx,model_size,True,1,1,test
29,Float8WeightOnlyConfig,float8,8,False,True,onnx_relative_model_size,,onnx,model_size,True,1,1,test
30,Int8WeightOnlyConfig,int8,8,False,True,onnx_relative_median_latency,1.1585193050345741,onnx,median_latency,True,1,1,test
31,Float8WeightOnlyConfig,float8,8,False,True,onnx_relative_median_latency,,onnx,median_latency,True,1,1,test
32,Int8WeightOnlyConfig,int8,8,False,True,onnx_relative_p95_latency,1.2053194297167298,onnx,p95_latency,True,1,1,test
33,Float8WeightOnlyConfig,float8,8,False,True,onnx_relative_p95_latency,,onnx,p95_latency,True,1,1,test
34,Int8WeightOnlyConfig,int8,8,False,True,onnx_relative_p99_latency,1.1739629011705943,onnx,p99_latency,True,1,1,test
35,Float8WeightOnlyConfig,float8,8,False,True,onnx_relative_p99_latency,,onnx,p99_latency,True,1,1,test
36,Int8WeightOnlyConfig,int8,8,False,True,pt2_quantized_model_size,352993.0,pt2,model_size,False,1,1,test
37,Float8WeightOnlyConfig,float8,8,False,True,pt2_quantized_model_size,332641.0,pt2,model_size,False,1,1,test
38,Int8WeightOnlyConfig,int8,8,False,True,pt2_quantized_median_latency,0.0011210094999114517,pt2,median_latency,False,1,1,test
39,Float8WeightOnlyConfig,float8,8,False,True,pt2_quantized_median_latency,0.0013463915001921123,pt2,median_latency,False,1,1,test
40,Int8WeightOnlyConfig,int8,8,False,True,pt2_quantized_p95_latency,0.0012823176477468222,pt2,p95_latency,False,1,1,test
41,Float8WeightOnlyConfig,float8,8,False,True,pt2_quantized_p95_latency,0.0015948259484503066,pt2,p95_latency,False,1,1,test
42,Int8WeightOnlyConfig,int8,8,False,True,pt2_quantized_p99_latency,0.0014799710972511091,pt2,p99_latency,False,1,1,test
43,Float8WeightOnlyConfig,float8,8,False,True,pt2_quantized_p99_latency,0.001968311598757282,pt2,p99_latency,False,1,1,test
44,Int8WeightOnlyConfig,int8,8,False,True,pt2_relative_model_size,0.3967564238161981,pt2,model_size,True,1,1,test
