epoch,step,test_loss,train_loss_epoch,train_loss_step,valid_loss
0,49,,,17.58470387914874,
0,99,,,16.40072742995435,
0,149,,,12.43501625475825,
0,199,,,10.805240929550292,
0,239,,,,11.834106227772686
0,239,,16.417862461659734,,
1,249,,,14.178557596010524,
1,299,,,9.264372439155487,
1,349,,,9.149228087781168,
1,399,,,9.706853758458106,
1,449,,,11.476098831336664,
1,479,,,,10.96357280715745
1,479,,11.294226749466153,,
2,499,,,8.00427570400555,
2,549,,,8.794811568437655,
2,599,,,11.678291296443287,
2,649,,,8.58984101743492,
2,699,,,7.652489241725396,
2,719,,,,10.5178370163279
2,719,,10.586554424804593,,
3,749,,,10.094995077668283,
3,799,,,11.216728454519764,
3,849,,,7.375395554730056,
3,899,,,17.97089910423427,
3,949,,,10.429439176446515,
3,959,,,,10.243627438710707
3,959,,10.158472918335832,,
4,999,,,10.695571726720186,
4,1049,,,9.798038953770343,
4,1099,,,7.918265320158448,
4,1149,,,9.807286716440666,
4,1199,,,12.116381642367493,
4,1199,,,,10.055738288420468
4,1199,,9.820459951967628,,
5,1249,,,11.335332029517978,
5,1299,,,11.316984802123395,
5,1349,,,8.255819760299383,
5,1399,,,8.768813968373612,
5,1439,,,,9.939057797429701
5,1439,,9.538468408543595,,
6,1449,,,11.563588035147855,
6,1499,,,7.456385558870295,
6,1549,,,7.167239369402201,
6,1599,,,7.445424335145761,
6,1649,,,9.720001869615206,
6,1679,,,,9.741387879979596
6,1679,,9.302238664036608,,
7,1699,,,7.631254108070087,
7,1749,,,8.039680358888969,
7,1799,,,10.867188689283456,
7,1849,,,8.972898204004668,
7,1899,,,7.103615522311658,
7,1919,,,,9.751563312034111
7,1919,,9.15960753775771,,
8,1949,,,7.570689451590665,
8,1999,,,9.540907797544392,
8,2049,,,6.900227531733279,
8,2099,,,14.882855686695379,
8,2149,,,9.229904425073606,
8,2159,,,,9.614629654504508
8,2159,,8.9787818590168,,
9,2199,,,9.957954256038038,
9,2249,,,8.735857857779662,
9,2299,,,6.746835970888255,
9,2349,,,9.601898313062211,
9,2399,,,10.947035489214548,
9,2399,,,,9.422156134720352
9,2399,,8.874206462649411,,
10,2449,,,10.256675929055987,
10,2499,,,10.532173058448393,
10,2549,,,7.255239428946392,
10,2599,,,7.673465299739929,
10,2639,,,,9.629687891104352
10,2639,,8.746236926499025,,
11,2649,,,10.30319089427317,
11,2699,,,6.625914450907292,
11,2749,,,6.893009935111756,
11,2799,,,6.945534388827128,
11,2849,,,9.349953699553385,
11,2879,,,,9.404132852314756
11,2879,,8.642193145753769,,
12,2899,,,7.261688939118635,
12,2949,,,7.894467572117113,
12,2999,,,10.034073490691917,
12,3049,,,8.570004818019788,
12,3099,,,7.040814463642605,
12,3119,,,,9.310905781748561
12,3119,,8.575667435056971,,
13,3149,,,7.089726460346066,
13,3199,,,8.897949824107084,
13,3249,,,6.520804945109846,
13,3299,,,12.697246570154608,
13,3349,,,8.84042473588281,
13,3359,,,,9.149631835854596
13,3359,,8.479827431993696,,
14,3399,,,9.76691966145185,
14,3449,,,8.258914029359495,
14,3499,,,6.294600515718939,
14,3549,,,8.677854327028417,
14,3599,,,10.134645405409204,
14,3599,,,,9.174767774338031
14,3599,,8.377400531904788,,
15,3649,,,9.822461019559565,
15,3699,,,9.74526614926961,
15,3749,,,7.35837982704909,
15,3799,,,7.274148149126148,
15,3839,,,,9.08004258898125
15,3839,,8.311340317289112,,
16,3849,,,9.485936400856488,
16,3899,,,5.916316757853499,
16,3949,,,6.652742674110817,
16,3999,,,6.659680443499643,
16,4049,,,8.818156755776165,
16,4079,,,,8.842758076929686
16,4079,,8.24123248078115,,
17,4099,,,6.634052879558128,
17,4149,,,7.612258311498282,
17,4199,,,9.917879942025667,
17,4249,,,8.251515783030676,
17,4299,,,6.4687730385552955,
17,4319,,,,8.809665493712817
17,4319,,8.186642111377903,,
18,4349,,,6.859382721229506,
18,4399,,,8.31657596831179,
18,4449,,,6.271032470805534,
18,4499,,,11.743113511983257,
18,4549,,,9.038866066235688,
18,4559,,,,8.727105246567282
18,4559,,8.111927703218683,,
19,4599,,,9.232016755431868,
19,4649,,,7.3985598276443865,
19,4699,,,6.240348564849823,
19,4749,,,8.572021578814244,
19,4799,,,10.595047204218986,
19,4799,,,,8.951961834788996
19,4799,,8.086313844936972,,
20,4849,,,9.439195377255254,
20,4899,,,9.249348734089132,
20,4949,,,7.355784097803582,
20,4999,,,6.894727160524697,
20,5039,,,,8.800941925670564
20,5039,,8.06474254236576,,
21,5049,,,9.008407078114946,
21,5099,,,5.513807039067801,
21,5149,,,6.715002368058931,
21,5199,,,6.576447914274421,
21,5249,,,9.490328956927426,
21,5279,,,,8.54490340351615
21,5279,,7.967650653105194,,
22,5299,,,6.6444768331343695,
22,5349,,,7.3510232537880835,
22,5399,,,9.576893622594522,
22,5449,,,7.289651667121886,
22,5499,,,6.523916086894208,
22,5519,,,,8.801495611702663
22,5519,,7.969696118470617,,
23,5549,,,6.487700200275064,
23,5599,,,7.871224421914936,
23,5649,,,5.880258691374376,
23,5699,,,11.098182703074857,
23,5749,,,8.654210257695738,
23,5759,,,,8.616516358049703
23,5759,,7.906192259418744,,
24,5799,,,9.029640773056048,
24,5849,,,7.08955820174265,
24,5899,,,6.090794603822644,
24,5949,,,8.269200102896164,
24,5999,,,10.475895161440418,
24,5999,,,,8.541118440125906
24,5999,,7.859513618784228,,
25,6049,,,9.310421110618835,
25,6099,,,9.352178179172682,
25,6149,,,6.907979677190096,
25,6199,,,6.698158298887069,
25,6239,,,,8.78840834736408
25,6239,,7.8039387525860935,,
26,6249,,,8.90839967184598,
26,6299,,,5.32858009206041,
26,6349,,,6.475253766714633,
26,6399,,,6.440723232283537,
26,6449,,,8.829979044714017,
26,6479,,,,8.496023881553237
26,6479,,7.747717760535259,,
27,6499,,,6.27575059459855,
27,6549,,,7.05480365936911,
27,6599,,,9.762391396112879,
27,6649,,,7.748849402223103,
27,6699,,,6.262474642139539,
27,6719,,,,8.601363787380231
27,6719,,7.7017505773816595,,
28,6749,,,6.355406947149053,
28,6799,,,7.467899534940501,
28,6849,,,5.809546231784571,
28,6899,,,10.544956674562357,
28,6949,,,8.5657688722425,
28,6959,,,,8.798651527032378
28,6959,,7.697857040331589,,
29,6999,,,8.995846531992896,
29,7049,,,7.446298923363029,
29,7099,,,6.185675349424065,
29,7149,,,8.174991543629943,
29,7199,,,10.04979795150159,
