epoch,step,test_loss,train_loss_epoch,train_loss_step,valid_loss
0,49,,,30.547691705734998,
0,99,,,34.52940306768298,
0,149,,,28.212740828444254,
0,199,,,23.168768943727088,
0,239,,,,19.385222165690234
0,239,,28.278185498855994,,
1,249,,,17.743458733047508,
1,299,,,13.026529000108319,
1,349,,,9.469974277311614,
1,399,,,10.037015198205168,
1,449,,,11.082161915040265,
1,479,,,,10.562463262313491
1,479,,13.675824091648307,,
2,499,,,8.953269007612377,
2,549,,,8.416235326081143,
2,599,,,11.395922068021058,
2,649,,,8.259997848635678,
2,699,,,8.90547378031528,
2,719,,,,9.368358963598986
2,719,,9.971455645569984,,
3,749,,,6.861418159189432,
3,799,,,8.80015883161963,
3,849,,,7.523221635951339,
3,899,,,13.338619560161838,
3,949,,,9.449434994625474,
3,959,,,,9.044531480831779
3,959,,9.356587084173697,,
4,999,,,9.61630838771117,
4,1049,,,8.243941018992762,
4,1099,,,6.9025554308687775,
4,1149,,,9.435900044019006,
4,1199,,,10.247274320716995,
4,1199,,,,9.063481294650778
4,1199,,9.065062348949679,,
5,1249,,,9.322382229243438,
5,1299,,,9.952785907940665,
5,1349,,,8.17850141068763,
5,1399,,,8.452796949487361,
5,1439,,,,8.904908269701227
5,1439,,8.871408374137914,,
6,1449,,,9.583484470270431,
6,1499,,,6.723340847584463,
6,1549,,,6.383266511803334,
6,1599,,,6.921040150256305,
6,1649,,,7.457349256462485,
6,1679,,,,9.05047631349112
6,1679,,8.70716659437653,,
7,1699,,,7.717047842071652,
7,1749,,,7.911559917608382,
7,1799,,,10.357711872278271,
7,1849,,,7.2975686961521316,
7,1899,,,7.062926775111618,
7,1919,,,,8.92737295167753
7,1919,,8.560387210645857,,
8,1949,,,6.142686243575216,
8,1999,,,8.36149591908537,
8,2049,,,6.7515665044848285,
8,2099,,,13.183514484087107,
8,2149,,,8.667004285971872,
8,2159,,,,8.783417993721836
8,2159,,8.430884928735603,,
9,2199,,,8.213515505777131,
9,2249,,,8.184991076740925,
9,2299,,,6.018390264527849,
9,2349,,,8.418087580643258,
9,2399,,,9.346088059787968,
9,2399,,,,8.478115195574864
9,2399,,8.309222673401903,,
10,2449,,,9.213175819022506,
10,2499,,,9.638087847181747,
10,2549,,,7.303188201770604,
10,2599,,,7.227088334553897,
10,2639,,,,8.347251120770888
10,2639,,8.212563626774667,,
11,2649,,,9.152458986409638,
11,2699,,,5.7322992317677,
11,2749,,,6.344115133104907,
11,2799,,,7.102164955591982,
11,2849,,,7.738011109511365,
11,2879,,,,8.575521797282066
11,2879,,8.12499637483924,,
12,2899,,,6.654075865258861,
12,2949,,,7.382387732330798,
12,2999,,,10.333646000518309,
12,3049,,,7.1741316368835575,
12,3099,,,6.194543648765488,
12,3119,,,,8.375271938000958
12,3119,,8.057291782876188,,
13,3149,,,5.671527180049306,
13,3199,,,7.672809503602973,
13,3249,,,6.361646397839016,
13,3299,,,12.726187384563238,
13,3349,,,8.415409782423584,
13,3359,,,,8.713273484092854
13,3359,,7.961498292386517,,
14,3399,,,8.206785864164333,
14,3449,,,8.038270812281597,
14,3499,,,5.359678782681341,
14,3549,,,8.237276642444836,
14,3599,,,7.145320257144372,
14,3599,,,,8.425894306510546
14,3599,,7.8631054544419525,,
15,3649,,,9.022740830541299,
15,3699,,,9.255350809923353,
15,3749,,,6.625170339735265,
15,3799,,,7.166765111637728,
15,3839,,,,8.780268436759041
15,3839,,7.842431755740789,,
16,3840,8.15750515475772,,,
