epoch,step,test_loss,train_loss_epoch,train_loss_step,valid_loss
0,49,,,32.96875,
0,99,,,38.96875,
0,149,,,35.59375,
0,199,,,33.90625,
0,239,,,,34.50152587890625
0,239,,34.4637451171875,,
1,249,,,31.046875,
1,299,,,29.3125,
1,349,,,27.59375,
1,399,,,34.4375,
1,449,,,35.1875,
1,479,,,,34.27336883544922
1,479,,34.234188079833984,,
2,499,,,34.34375,
2,549,,,32.6875,
2,599,,,31.25,
2,649,,,31.28125,
2,699,,,29.84375,
2,719,,,,34.0474739074707
2,719,,34.01093292236328,,
3,749,,,33.28125,
3,799,,,35.28125,
3,849,,,28.859375,
3,899,,,30.6875,
3,949,,,35.03125,
3,959,,,,33.82637023925781
3,959,,33.792938232421875,,
4,999,,,32.5,
4,1049,,,35.59375,
4,1099,,,34.28125,
4,1149,,,32.53125,
4,1199,,,37.84375,
4,1199,,,,33.622318267822266
4,1199,,33.57908630371094,,
5,1249,,,31.859375,
5,1299,,,37.875,
5,1349,,,34.53125,
5,1399,,,32.9375,
5,1439,,,,33.416500091552734
5,1439,,33.369544982910156,,
6,1449,,,30.0625,
6,1499,,,28.296875,
6,1549,,,26.46875,
6,1599,,,33.34375,
6,1649,,,34.09375,
6,1679,,,,33.208919525146484
6,1679,,33.16526794433594,,
7,1699,,,33.3125,
7,1749,,,31.578125,
7,1799,,,30.15625,
7,1849,,,30.21875,
7,1899,,,28.828125,
7,1919,,,,33.017215728759766
7,1919,,32.96817398071289,,
8,1949,,,32.28125,
8,1999,,,34.21875,
8,2049,,,27.8125,
8,2099,,,29.671875,
8,2149,,,34.09375,
8,2159,,,,32.905826568603516
8,2159,,32.79000473022461,,
9,2199,,,31.609375,
9,2249,,,34.78125,
9,2299,,,33.4375,
9,2349,,,31.78125,
9,2399,,,37.0,
9,2399,,,,32.905826568603516
9,2399,,32.75499725341797,,
10,2449,,,31.15625,
10,2499,,,37.3125,
10,2549,,,33.9375,
10,2599,,,32.5,
10,2639,,,,32.905826568603516
10,2639,,32.75499725341797,,
11,2649,,,29.625,
11,2699,,,27.84375,
11,2749,,,26.015625,
11,2799,,,32.9375,
11,2849,,,33.75,
11,2879,,,,32.905826568603516
11,2879,,32.75499725341797,,
12,2899,,,33.03125,
12,2949,,,31.296875,
12,2999,,,29.921875,
12,3049,,,30.046875,
12,3099,,,28.703125,
12,3119,,,,32.905826568603516
12,3119,,32.75499725341797,,
13,3149,,,32.1875,
13,3199,,,34.15625,
13,3249,,,27.796875,
13,3299,,,29.671875,
13,3349,,,34.09375,
13,3359,,,,32.905826568603516
13,3359,,32.75499725341797,,
14,3399,,,31.609375,
14,3449,,,34.78125,
14,3499,,,33.4375,
14,3549,,,31.78125,
14,3599,,,37.0,
14,3599,,,,32.905826568603516
14,3599,,32.75499725341797,,
15,3649,,,31.15625,
15,3699,,,37.3125,
15,3749,,,33.9375,
15,3799,,,32.5,
15,3839,,,,32.905826568603516
15,3839,,32.75499725341797,,
16,3849,,,29.625,
16,3899,,,27.84375,
16,3949,,,26.015625,
16,3999,,,32.9375,
16,4049,,,33.75,
16,4079,,,,32.905826568603516
16,4079,,32.75499725341797,,
17,4099,,,33.03125,
17,4149,,,31.296875,
17,4199,,,29.921875,
17,4249,,,30.046875,
17,4299,,,28.703125,
17,4319,,,,32.9040641784668
17,4319,,32.75493240356445,,
18,4349,,,32.1875,
18,4399,,,34.15625,
18,4449,,,27.796875,
18,4499,,,29.671875,
18,4549,,,34.09375,
18,4559,,,,32.9040641784668
18,4559,,32.754798889160156,,
19,4599,,,31.609375,
19,4649,,,34.78125,
19,4699,,,33.4375,
19,4749,,,31.78125,
19,4799,,,37.0,
19,4799,,,,32.90347671508789
19,4799,,32.753822326660156,,
20,4849,,,31.15625,
20,4899,,,37.3125,
20,4949,,,33.9375,
20,4999,,,32.5,
20,5039,,,,32.89936065673828
20,5039,,32.7515983581543,,
21,5049,,,29.625,
21,5099,,,27.828125,
21,5149,,,26.015625,
21,5199,,,32.9375,
21,5249,,,33.75,
21,5279,,,,32.898773193359375
21,5279,,32.74833297729492,,
22,5299,,,33.03125,
22,5349,,,31.28125,
22,5399,,,29.921875,
22,5449,,,30.03125,
22,5499,,,28.703125,
22,5519,,,,32.896915435791016
22,5519,,32.74543380737305,,
23,5549,,,32.15625,
23,5599,,,34.15625,
23,5649,,,27.78125,
23,5699,,,29.65625,
23,5749,,,34.09375,
23,5759,,,,32.89339065551758
23,5759,,32.741512298583984,,
24,5799,,,31.59375,
24,5849,,,34.75,
24,5899,,,33.40625,
24,5949,,,31.765625,
24,5999,,,36.96875,
24,5999,,,,32.88927459716797
24,5999,,32.739097595214844,,
25,6000,31.99500274658203,,,
