epoch,step,test_loss,train_loss_epoch,train_loss_step,valid_loss
0,49,,,32.75,
0,99,,,38.75,
0,149,,,35.25,
0,199,,,33.5,
0,239,,,,33.8868293762207
0,239,,34.15571594238281,,
1,249,,,30.5,
1,299,,,28.625,
1,349,,,26.75,
1,399,,,33.5,
1,449,,,34.0,
1,479,,,,33.155643463134766
1,479,,33.35137176513672,,
2,499,,,33.25,
2,549,,,31.375,
2,599,,,29.875,
2,649,,,29.875,
2,699,,,28.375,
2,719,,,,32.5474739074707
2,719,,32.68938446044922,,
3,749,,,31.75,
3,799,,,33.5,
3,849,,,27.25,
3,899,,,28.875,
3,949,,,33.25,
3,959,,,,32.01925277709961
3,959,,32.130863189697266,,
4,999,,,30.625,
4,1049,,,33.5,
4,1099,,,32.25,
4,1149,,,30.5,
4,1199,,,35.5,
4,1199,,,,31.505144119262695
4,1199,,31.600849151611328,,
5,1249,,,29.75,
5,1299,,,35.5,
5,1349,,,32.0,
5,1399,,,30.625,
5,1439,,,,31.005144119262695
5,1439,,31.07210922241211,,
6,1449,,,27.75,
6,1499,,,25.75,
6,1549,,,24.0,
6,1599,,,30.625,
6,1649,,,31.375,
6,1679,,,,30.476924896240234
6,1679,,30.5391902923584,,
7,1699,,,30.5,
7,1749,,,28.625,
7,1799,,,27.375,
7,1849,,,27.375,
7,1899,,,25.75,
7,1919,,,,29.976924896240234
7,1919,,29.997909545898438,,
8,1949,,,29.0,
8,1999,,,31.0,
8,2049,,,24.625,
8,2099,,,26.25,
8,2149,,,30.375,
8,2159,,,,29.44400405883789
8,2159,,29.474166870117188,,
9,2199,,,28.125,
9,2249,,,30.875,
9,2299,,,29.75,
9,2349,,,27.75,
9,2399,,,32.75,
9,2399,,,,28.92519187927246
9,2399,,28.951175689697266,,
10,2449,,,27.25,
10,2499,,,33.0,
10,2549,,,29.375,
10,2599,,,28.0,
10,2639,,,,28.439300537109375
10,2639,,28.44386100769043,,
11,2649,,,25.375,
11,2699,,,23.375,
11,2749,,,21.875,
11,2799,,,28.0,
11,2849,,,28.625,
11,2879,,,,27.95340919494629
11,2879,,27.95471954345703,,
12,2899,,,27.75,
12,2949,,,26.125,
12,2999,,,25.0,
12,3049,,,24.75,
12,3099,,,23.25,
12,3119,,,,27.429893493652344
12,3119,,27.449493408203125,,
13,3149,,,26.25,
13,3199,,,28.5,
13,3249,,,22.125,
13,3299,,,23.75,
13,3349,,,28.0,
13,3359,,,,26.95340919494629
13,3359,,26.9619197845459,,
14,3399,,,25.5,
14,3449,,,28.125,
14,3499,,,27.375,
14,3549,,,25.125,
14,3599,,,30.0,
14,3599,,,,26.476924896240234
14,3599,,26.496408462524414,,
15,3649,,,24.875,
15,3699,,,30.5,
15,3749,,,27.125,
15,3799,,,25.625,
15,3839,,,,26.02865982055664
15,3839,,26.0440731048584,,
16,3849,,,23.25,
16,3899,,,21.25,
16,3949,,,20.125,
16,3999,,,25.375,
16,4049,,,26.25,
16,4079,,,,25.592519760131836
16,4079,,25.598007202148438,,
17,4099,,,25.375,
17,4149,,,23.625,
17,4199,,,22.625,
17,4249,,,22.5,
17,4299,,,21.0,
17,4319,,,,25.167768478393555
17,4319,,25.16291618347168,,
18,4349,,,23.875,
18,4399,,,26.25,
18,4449,,,20.25,
18,4499,,,21.5,
18,4549,,,25.75,
18,4559,,,,24.747722625732422
18,4559,,24.728870391845703,,
19,4599,,,23.25,
19,4649,,,25.75,
19,4699,,,25.125,
19,4749,,,22.875,
19,4799,,,28.125,
19,4799,,,,24.330394744873047
19,4799,,24.31102180480957,,
20,4849,,,23.25,
20,4899,,,28.25,
20,4949,,,25.0,
20,4999,,,23.375,
20,5039,,,,23.92915916442871
20,5039,,23.897354125976562,,
21,5049,,,21.375,
21,5099,,,19.375,
21,5149,,,18.5,
21,5199,,,22.875,
21,5249,,,24.125,
21,5279,,,,23.52593994140625
21,5279,,23.489957809448242,,
22,5299,,,23.25,
22,5349,,,21.5,
22,5399,,,20.5,
22,5449,,,20.25,
22,5499,,,19.125,
22,5519,,,,23.13881492614746
22,5519,,23.0930118560791,,
23,5549,,,21.625,
23,5599,,,24.125,
23,5649,,,18.5,
23,5699,,,19.625,
23,5749,,,23.75,
23,5759,,,,22.773221969604492
23,5759,,22.704425811767578,,
24,5799,,,21.25,
24,5849,,,23.75,
24,5899,,,23.0,
24,5949,,,20.875,
24,5999,,,26.25,
24,5999,,,,22.39116668701172
24,5999,,22.320802688598633,,
25,6000,21.79668426513672,,,
